Date,Open,High,Low,Close,Adj Close,Volume
2019-04-22,131.899994,132.199997,131.029999,131.679993,131.679993,10197500
2019-04-23,133.389999,134.240005,132.649994,133.360001,133.360001,12159300
2019-04-24,133.110001,135.750000,132.720001,135.100006,135.100006,11449500
2019-04-25,135.360001,138.880005,134.839996,137.240005,137.240005,16382500
2019-04-26,138.699997,140.039993,137.509995,139.919998,139.919998,14167600
2019-04-29,142.190002,142.369995,137.610001,139.300003,139.300003,25746100
2019-04-30,139.119995,139.389999,136.029999,136.970001,136.970001,15253100
2019-05-01,137.490005,138.169998,136.240005,136.380005,136.380005,8906700
2019-05-02,135.380005,135.690002,132.380005,134.139999,134.139999,16580400
2019-05-03,135.220001,135.309998,133.779999,134.330002,134.330002,8874400
2019-05-06,132.539993,135.330002,132.300003,135.000000,135.000000,9955600
2019-05-07,135.350006,135.970001,132.759995,133.440002,133.440002,10972700
2019-05-08,133.500000,135.699997,133.309998,134.990005,134.990005,15423500
2019-05-09,135.029999,136.479996,132.839996,133.589996,133.589996,15297100
2019-05-10,133.009995,134.320007,131.229996,134.039993,134.039993,9858500
2019-05-13,131.500000,132.660004,130.550003,131.339996,131.339996,11389900
2019-05-14,133.520004,134.660004,132.050003,133.199997,133.199997,12001700
2019-05-15,132.550003,135.210007,132.039993,134.679993,134.679993,9734100
2019-05-16,135.289993,136.399994,134.809998,135.500000,135.500000,9689400
2019-05-17,134.259995,135.979996,134.029999,135.039993,135.039993,8964200
2019-05-20,134.250000,134.399994,133.250000,133.910004,133.910004,8009000
2019-05-21,134.570007,134.570007,133.110001,134.089996,134.089996,7050300
2019-05-22,133.820007,134.169998,133.389999,133.850006,133.850006,5093700
2019-05-23,132.710007,133.550003,131.949997,132.729996,132.729996,6743300
2019-05-24,133.100006,133.289993,132.220001,132.789993,132.789993,4568600
